id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
624585,"Soler, Jorge",881,0.908247423,644,75.40653493,0.566401816,0.296583851,0.216799092,0.156832298,0.114642452,7.936281283,12,-7.108614089,237,0.269012486,315,0.357548241
656541,"Hilliard, Sam",262,0.912891986,158,75.27870408,0.526717557,0.316455696,0.190839695,0.202531646,0.122137405,7.268881794,7,-2.930109597,104,0.396946565,75,0.286259542
671218,"Ramos, Heliot",873,0.907484407,654,75.24058119,0.552119129,0.298165138,0.223367698,0.183486239,0.137457045,6.936671443,28,-7.195479386,219,0.250859107,319,0.365406644
592669,"Renfroe, Hunter",631,0.91316932,496,75.24039506,0.527733756,0.298387097,0.234548336,0.157258065,0.123613312,7.617267861,8,-9.598136219,135,0.213946117,275,0.435816165
624413,"Alonso, Pete",992,0.900181488,763,75.23499802,0.518145161,0.296199214,0.227822581,0.186107471,0.143145161,7.318061079,19,-10.85954121,229,0.230846774,387,0.390120968
663586,"Riley, Austin",754,0.908433735,563,75.23038333,0.535809019,0.326820604,0.24403183,0.202486679,0.151193634,7.509214257,24,-4.832057806,191,0.25331565,264,0.350132626
641933,"O'Neill, Tyler",733,0.90605686,481,75.22371484,0.518417462,0.282744283,0.185538881,0.180873181,0.118690314,7.594253929,11,3.352698445,252,0.343792633,209,0.285129604
592518,"Machado, Manny",1033,0.905346188,811,75.21947458,0.525653437,0.319358816,0.250726041,0.20838471,0.163601162,7.775955276,23,-6.191918105,222,0.214908035,419,0.405614714
677956,"Hinds, Rece",92,0.910891089,57,75.2148912,0.565217391,0.298245614,0.184782609,0.192982456,0.119565217,7.718913261,1,3.309981681,35,0.380434783,29,0.315217391
682829,"De La Cruz, Elly",989,0.905677656,691,75.18426903,0.53892821,0.316931983,0.221435794,0.189580318,0.132457027,7.281975824,31,2.832530341,298,0.301314459,350,0.353892821
660821,"Sánchez, Jesús",891,0.906408952,614,75.16434883,0.544332211,0.32247557,0.222222222,0.190553746,0.131313131,7.14619541,13,-17.17012623,277,0.310886644,300,0.336700337
686554,"Dunn, Oliver",139,0.902597403,87,75.16018245,0.553956835,0.310344828,0.194244604,0.114942529,0.071942446,7.617916691,2,-4.124064393,52,0.374100719,43,0.309352518
660707,"Montero, Elehuris",392,0.911627907,276,75.11648686,0.530612245,0.286231884,0.201530612,0.152173913,0.107142857,7.566919592,10,-12.33038752,116,0.295918367,140,0.357142857
663624,"Mountcastle, Ryan",896,0.90872211,690,75.09298212,0.505580357,0.275362319,0.212053571,0.160869565,0.123883929,7.482878438,14,-10.03817204,206,0.229910714,317,0.353794643
572233,"Walker, Christian",915,0.901477833,708,75.04501966,0.527868852,0.261299435,0.202185792,0.15819209,0.122404372,7.544497672,32,-12.76665811,207,0.226229508,303,0.331147541
693049,"Colás, Oscar",67,0.905405405,49,74.97438433,0.492537313,0.244897959,0.179104478,0.142857143,0.104477612,7.395185224,1,-1.478704131,18,0.268656716,21,0.313432836
670042,"Raley, Luke",752,0.900598802,512,74.97093403,0.507978723,0.26953125,0.183510638,0.16796875,0.114361702,7.24988891,16,-4.070624453,240,0.319148936,236,0.313829787
665120,"Walsh, Jared",59,0.907692308,32,74.96773525,0.508474576,0.28125,0.152542373,0.125,0.06779661,7.649634746,1,-3.90989858,27,0.457627119,15,0.254237288
696100,"Goodman, Hunter",405,0.908071749,285,74.91741761,0.50617284,0.224561404,0.158024691,0.10877193,0.07654321,7.253100222,7,-7.23608924,120,0.296296296,128,0.316049383
595879,"Báez, Javier",427,0.906581741,304,74.82568265,0.494145199,0.299342105,0.213114754,0.174342105,0.12412178,8.623558923,8,-23.23715266,123,0.288056206,167,0.391100703
663698,"Bart, Joey",435,0.904365904,321,74.82526163,0.510344828,0.289719626,0.213793103,0.161993769,0.11954023,7.48628446,10,1.458774824,114,0.262068966,163,0.374712644
671739,"Harris II, Michael",761,0.905952381,584,74.71957338,0.479632063,0.306506849,0.23521682,0.195205479,0.149802891,8.060931905,11,-8.52206905,177,0.232588699,300,0.394218134
665487,"Tatis Jr., Fernando",636,0.903409091,478,74.71143442,0.477987421,0.374476987,0.281446541,0.225941423,0.169811321,7.329773475,29,-7.43155662,158,0.248427673,252,0.396226415
