"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
656180,"Adams, Riley",132,0.9041095890410958,82,"79.031571439",0.8484848484848485,0.21951219512195122,0.13636363636363635,0.14634146341463414,0.09090909090909091,"7.960779394",6,-8.396798091423651,50,0.3787878787878788,40,0.30303030303030304
665833,"Cruz, Oneil",476,0.9049429657794676,309,"78.548986576",0.754201680672269,0.32362459546925565,0.21008403361344538,0.2524271844660194,0.1638655462184874,"7.778542815",9,-9.002341203698931,167,0.35084033613445376,151,0.3172268907563025
691406,"Caminero, Junior",525,0.9051724137931034,430,"78.022271086",0.7695238095238097,0.2837209302325581,0.23238095238095238,0.20232558139534884,0.1657142857142857,"8.280132895",11,2.364951143758505,95,0.18095238095238095,219,0.41714285714285715
701762,"Kurtz, Nick",287,0.9053627760252366,200,"77.699728885",0.7979094076655051,0.28,0.1951219512195122,0.23,0.1602787456445993,"7.683814251",11,1.1798392546433658,87,0.30313588850174217,100,0.34843205574912894
691023,"Walker, Jordan",322,0.9044943820224719,211,"77.56297587",0.7453416149068324,0.26066350710900477,0.17080745341614906,0.17061611374407584,0.11180124223602485,"8.164976708",9,-9.440483208167306,111,0.3447204968944099,103,0.3198757763975155
678877,"Noel, Jhonkensy",206,0.911504424778761,144,"77.548207621",0.6990291262135921,0.19444444444444445,0.13592233009708737,0.125,0.08737864077669903,"7.576278398",5,-13.910034958668382,62,0.30097087378640774,61,0.2961165048543689
666176,"Adell, Jo",459,0.9,346,"77.491376514",0.7058823529411764,0.26011560693641617,0.19607843137254902,0.18786127167630057,0.14161220043572983,"7.714082048",13,5.375107649253501,113,0.24618736383442266,165,0.35947712418300654
695506,"Caglianone, Jac",159,0.9137931034482759,117,"77.254422453",0.7295597484276729,0.28205128205128205,0.20754716981132076,0.2222222222222222,0.16352201257861634,"7.496819057",2,-10.414293232417382,42,0.2641509433962264,62,0.389937106918239
592450,"Judge, Aaron",573,0.9009433962264151,379,"76.889931169",0.7085514834205933,0.33509234828496043,0.22164048865619546,0.24538258575197888,0.16230366492146597,"8.134218901",17,26.3843970639169,194,0.33856893542757416,192,0.33507853403141363
656941,"Schwarber, Kyle",535,0.8991596638655462,391,"76.787377103",0.7420560747663552,0.34271099744245526,0.2504672897196262,0.2531969309462916,0.18504672897196262,"7.539179234",22,2.9353923871798457,144,0.2691588785046729,198,0.37009345794392523
670541,"Alvarez, Yordan",192,0.9142857142857143,150,"76.62575276",0.6822916666666666,0.32,0.25,0.19333333333333333,0.15104166666666666,"7.770179219",0,-9.839180065604102,42,0.21875,73,0.3802083333333333
670242,"Wallner, Matt",278,0.8996763754045307,174,"76.330085971",0.6438848920863306,0.2988505747126437,0.18705035971223022,0.1896551724137931,0.11870503597122302,"7.427176475",10,-7.903545389823413,104,0.37410071942446044,85,0.3057553956834532
672744,"Canario, Alexander",290,0.90625,189,"76.315117034",0.6379310344827587,0.26455026455026454,0.1724137931034483,0.164021164021164,0.10689655172413794,"8.019792862",0,-10.390031950255853,101,0.3482758620689655,89,0.30689655172413793
665489,"Guerrero Jr., Vladimir",482,0.9077212806026366,374,"76.306339108",0.6265560165975104,0.3983957219251337,0.3091286307053942,0.26737967914438504,0.2074688796680498,"7.59140834",2,-0.6063709872184306,108,0.22406639004149378,232,0.48132780082987553
575929,"Contreras, Willson",540,0.9045226130653267,396,"76.237886167",0.6333333333333335,0.29545454545454547,0.21666666666666667,0.18686868686868688,0.13703703703703704,"7.916320648",6,-10.635674336782602,144,0.26666666666666666,195,0.3611111111111111
669003,"Mitchell, Garrett",111,0.9024390243902439,80,"76.172755676",0.7027027027027026,0.2375,0.17117117117117117,0.1625,0.11711711711711711,"7.451298649",5,-4.578422966766155,31,0.27927927927927926,39,0.35135135135135137
624413,"Alonso, Pete",621,0.9092240117130308,469,"76.156250209",0.6264090177133653,0.31343283582089554,0.23671497584541062,0.21321961620469082,0.1610305958132045,"7.124781417",6,-1.6579769202674877,152,0.24476650563607086,216,0.34782608695652173
660271,"Ohtani, Shohei",578,0.903125,397,"76.079463235",0.6262975778546712,0.3929471032745592,0.2698961937716263,0.29974811083123426,0.20588235294117646,"8.001834965",8,15.134826108683674,181,0.31314878892733566,205,0.3546712802768166
695578,"Wood, James",530,0.9028960817717206,391,"76.041096792",0.6452830188679246,0.34271099744245526,0.2528301886792453,0.2557544757033248,0.18867924528301888,"7.629724604",23,7.741794866126919,139,0.2622641509433962,201,0.37924528301886795
680718,"Barger, Addison",362,0.9118387909319899,270,"75.97296721",0.6381215469613261,0.3333333333333333,0.24861878453038674,0.23333333333333334,0.17403314917127072,"7.758684337",3,-5.281598967644778,92,0.2541436464088398,136,0.3756906077348066
660670,"Acuña Jr., Ronald",237,0.9011406844106464,173,"75.821170084",0.6455696202531644,0.2832369942196532,0.20675105485232068,0.2138728323699422,0.15611814345991562,"7.516685021",10,8.271532103763082,64,0.270042194092827,79,0.3333333333333333
663586,"Riley, Austin",653,0.9019337016574586,474,"75.821082726",0.5957120980091883,0.27637130801687765,0.2006125574272588,0.19198312236286919,0.13935681470137826,"7.543103553",16,-13.519094401613405,179,0.27411944869831545,214,0.327718223583461
